

generation: 8	dx: 

1 - txs=14, exgt=307, dxs=44
2 - txs=13, exgt=267, dxs=42
3 - txs=13, exgt=256, dxs=53
4 - txs=13, exgt=266, dxs=42
5 - txs=13, exgt=282, dxs=57
6 - txs=13, exgt=269, dxs=54
7 - txs=13, exgt=284, dxs=53
8 - txs=13, exgt=225, dxs=52
9 - txs=12, exgt=260, dxs=42
10 - txs=12, exgt=244, dxs=44
11 - txs=12, exgt=203, dxs=41
12 - txs=12, exgt=253, dxs=49
13 - txs=12, exgt=250, dxs=55
14 - txs=12, exgt=266, dxs=45
15 - txs=12, exgt=246, dxs=54
16 - txs=12, exgt=227, dxs=29
17 - txs=12, exgt=282, dxs=28
18 - txs=11, exgt=256, dxs=44
19 - txs=11, exgt=244, dxs=41
20 - txs=11, exgt=224, dxs=41
21 - txs=11, exgt=276, dxs=44
22 - txs=11, exgt=236, dxs=41
23 - txs=11, exgt=211, dxs=53
24 - txs=11, exgt=246, dxs=54
25 - txs=11, exgt=235, dxs=55
