

generation: 4	dx: 

1 - txs=54, exgt=249, dxs=103
2 - txs=54, exgt=251, dxs=103
3 - txs=54, exgt=251, dxs=103
4 - txs=54, exgt=251, dxs=103
5 - txs=54, exgt=251, dxs=103
6 - txs=54, exgt=251, dxs=103
7 - txs=54, exgt=249, dxs=103
8 - txs=54, exgt=249, dxs=103
9 - txs=54, exgt=249, dxs=103
10 - txs=54, exgt=251, dxs=103
11 - txs=54, exgt=251, dxs=103
12 - txs=54, exgt=251, dxs=103
13 - txs=54, exgt=251, dxs=103
14 - txs=54, exgt=249, dxs=103
15 - txs=54, exgt=249, dxs=103
16 - txs=54, exgt=250, dxs=103
17 - txs=54, exgt=251, dxs=103
18 - txs=54, exgt=251, dxs=103
19 - txs=54, exgt=251, dxs=103
20 - txs=54, exgt=251, dxs=103
21 - txs=54, exgt=251, dxs=103
22 - txs=54, exgt=251, dxs=103
23 - txs=54, exgt=250, dxs=103
24 - txs=54, exgt=249, dxs=103
25 - txs=54, exgt=249, dxs=103
