

generation: 6	dx: 96

1 - txs=13, exgt=247, dxs=42
2 - txs=13, exgt=313, dxs=43
3 - txs=13, exgt=233, dxs=41
4 - txs=13, exgt=318, dxs=43
5 - txs=13, exgt=301, dxs=57
6 - txs=13, exgt=289, dxs=57
7 - txs=13, exgt=297, dxs=58
8 - txs=13, exgt=298, dxs=55
9 - txs=12, exgt=294, dxs=55
10 - txs=12, exgt=278, dxs=56
11 - txs=12, exgt=306, dxs=58
12 - txs=12, exgt=291, dxs=55
13 - txs=12, exgt=312, dxs=60
14 - txs=12, exgt=285, dxs=60
15 - txs=12, exgt=267, dxs=57
16 - txs=12, exgt=314, dxs=59
17 - txs=12, exgt=299, dxs=57
18 - txs=12, exgt=299, dxs=58
19 - txs=12, exgt=252, dxs=55
20 - txs=12, exgt=299, dxs=55
21 - txs=12, exgt=311, dxs=58
22 - txs=12, exgt=307, dxs=55
23 - txs=11, exgt=339, dxs=60
24 - txs=11, exgt=296, dxs=56
25 - txs=11, exgt=301, dxs=57
